Bob Algo result 

Requete ;requete_1.png

Temps de création des histogrammes de références ;1.0660169124603271
Temps pour appliquer l'algorithme de reconnaissance d'image ;0.00945591926574707

Résultat de la reconnaissance :
Position;Fichier;Distance
1;zebre_3.png;2.0944886
1;plancheneige_5.png;2.2746387
1;tasse_4.png;2.3596957
1;plancheneige_2.png;2.3748949
1;planchesurf_2.png;2.4512124
1;tasse_2.png;2.5308926
1;planchesurf_3.png;2.6582265
1;planchesurf_4.png;2.7005134
1;plancheneige_3.png;2.7632425
1;zebre_2.png;2.8038135
1;pomme_4.png;2.869493
1;plancheneige_4.png;2.8863125
1;zebre_4.png;2.9410458
1;zebre_1.png;2.9843757
1;tasse_1.png;3.0024934
1;banane_1.png;3.0112553
1;pomme_5.png;9.434549

Top 3 :
Position;Fichier;Distance
1;zebre_5.png;0.15389064
1;plancheneige_1.png;0.25670946
1;planchesurf_1.png;0.33173048

Résultat obtenu ;zebre
Résultat attendu ;snowboard
Test OK ;False

Requete ;requete_8.png

Temps de création des histogrammes de références ;1.0660169124603271
Temps pour appliquer l'algorithme de reconnaissance d'image ;0.08225488662719727

Résultat de la reconnaissance :
Position;Fichier;Distance
1;plancheneige_4.png;0.3272386
1;pomme_4.png;0.42957178
1;zebre_4.png;0.6827891
1;zebre_1.png;1.3548379
1;zebre_2.png;1.4417446
1;tasse_1.png;1.6360598
1;banane_1.png;1.772519
1;plancheneige_3.png;2.0780766
1;planchesurf_4.png;3.0466871
1;planchesurf_3.png;3.7011805
1;tasse_2.png;5.683576
1;planchesurf_2.png;6.911002
1;plancheneige_2.png;8.146707
1;tasse_4.png;8.325119
1;plancheneige_5.png;9.658709
1;zebre_3.png;12.440775
1;banane_3.png;14.118122
1;pomme_1.png;15.688547
1;banane_2.png;18.745638
1;tasse_5.png;21.483833
1;tasse_3.png;23.843151
1;pomme_2.png;27.10513
1;banane_4.png;28.443335
1;planchesurf_5.png;29.255426
1;pomme_3.png;36.04502
1;plancheneige_1.png;41.007675
1;zebre_5.png;42.573547
1;planchesurf_1.png;48.542503
1;banane_5.png;58.099564
1;pomme_5.png;191.24788

Top 3 :
Position;Fichier;Distance
1;plancheneige_4.png;0.3272386
1;pomme_4.png;0.42957178
1;zebre_4.png;0.6827891

Résultat obtenu ;plancheneige
Résultat attendu ;Inconnu
Test OK ;False


Précision de l'algorithme ;0.375
